,matlab,python,delta
205635_at,-196.196954,195.87552791574083,0.32142608425917274
205636_at,-141.751402,141.0888324935427,0.6625695064573165
205637_s_at,-171.99801100000002,171.16296850744502,0.8350424925550044
205638_at,-186.41501499999998,197.08067818193987,-10.665663181939891
205639_at,-140.589947,139.62959446897702,0.960352531022977
205640_at,-135.279427,142.1372387957705,-6.857811795770488
205641_s_at,-54.956031,65.02144431252722,-10.06541331252722
205642_at,-180.045843,180.0949329554227,-0.04908995542271555
205643_s_at,-193.770776,192.32713176892727,1.4436442310727386
205644_s_at,-130.066444,139.82421037382716,-9.757766373827167
205645_at,-112.576074,117.0056673939093,-4.4295933939093
205646_s_at,-182.663895,181.6393218008482,1.0245731991518028
205647_at,-162.306427,161.87970442468043,0.42672257531958735
205648_at,-90.18095699999999,97.19925949552133,-7.01830249552134
205649_s_at,-212.01914399999998,224.38450988059165,-12.365365880591668
205650_s_at,-188.555212,197.99773001334046,-9.442518013340447
205651_x_at,-122.221828,124.14237661251921,-1.9205486125192124
205652_s_at,-160.491206,168.1854823621063,-7.694276362106308
205653_at,-160.734713,161.16817252853483,-0.4334595285348257
205654_at,-252.22785299999998,257.30509231562803,-5.077239315628049
205655_at,-153.27998300000002,152.34824569865413,0.9317373013458905
205656_at,-114.71711599999999,124.61363557342011,-9.896519573420122
205657_at,-153.001561,153.10729949022445,-0.10573849022443937
205658_s_at,-177.639282,177.23234143769838,0.406940562301628
205659_at,-180.08533799999998,185.86822295594473,-5.782884955944752
205660_at,-194.00358799999998,193.58835829425996,0.4152297057400176
205661_s_at,-133.505084,133.02868547564157,0.4763985243584443
205662_at,-158.04639,162.02703475042512,-3.980644750425114
205663_at,-186.14218,186.5590736692379,-0.4168936692379077
205664_at,-101.327779,104.7725315543747,-3.4447525543746877
205665_at,-188.792235,188.70964411903276,0.08259088096724554
205666_at,-117.89674099999999,118.54084394460781,-0.6441029446078232
205667_at,-129.996378,102.96914160474502,27.027236395254974
205668_at,-209.49168400000002,215.71843316292083,-6.226749162920811
205669_at,-193.075417,192.22148787040956,0.8539291295904263
205670_at,-130.739097,135.26017390961624,-4.521076909616255
205671_s_at,-158.793732,159.97824707600324,-1.1845150760032368
205672_at,-117.925564,125.64121582286795,-7.7156518228679545
205673_s_at,-120.152775,119.51809061305295,0.6346843869470575
205674_x_at,-146.038592,144.5686540760487,1.4699379239513064
205675_at,-187.730552,187.10453997141548,0.6260120285845119
205676_at,-156.180354,156.24997712197538,-0.06962312197538267
205677_s_at,-128.898062,131.06810740844588,-2.1700454084458727
205678_at,-188.360556,187.26237103843962,1.0981849615603778
205679_x_at,-166.149815,166.1879407327453,-0.038125732745299956
205680_at,-223.30477599999998,226.17710990663957,-2.8723339066395965
205681_at,-171.005533,170.6730612437477,0.3324717562523176
205682_x_at,-150.739561,150.49666716268194,0.24289383731806424
205683_x_at,-182.822247,183.743018777582,-0.9207717775819901
205684_s_at,-175.329826,174.7405602280442,0.5892657719558088
205685_at,-128.306671,127.10544956127151,1.2012214387284814
205686_s_at,-185.42516,186.50072645003996,-1.0755664500399575
205687_at,-164.403107,160.31846680344768,4.0846401965523285
205688_at,-182.105711,187.86055751625238,-5.754846516252371
205689_at,-155.600806,163.2755943853893,-7.6747883853892915
205690_s_at,-169.12331,174.979970552602,-5.856660552601994
205691_at,-192.25728999999998,192.51415656251487,-0.2568665625148867
205692_s_at,-152.632073,152.9541405962793,-0.3220675962793109
205693_at,-190.92363799999998,190.94744827672864,-0.023810276728653434
205694_at,-201.516386,201.174266553888,0.34211944611200806
205695_at,-174.719803,178.644708543039,-3.9249055430389888
205696_s_at,-201.486284,202.4286705309429,-0.9423865309428834
205697_at,-163.83148899999998,172.1322102313918,-8.300721231391833
205698_s_at,-131.78391200000002,131.54765629141903,0.236255708580984
205699_at,-144.440121,145.34357333097802,-0.9034523309780127
205700_at,-205.887828,212.66607783102944,-6.778249831029427
205701_at,-189.48238999999998,189.77084821842,-0.2884582184200326
205702_at,-155.753445,153.66077399712796,2.092671002872038
205703_at,-186.958104,193.56670687844948,-6.608602878449489
205704_s_at,-182.279302,183.61912123574444,-1.339819235744443
205705_at,-180.289699,180.81798608019685,-0.5282870801968329
205706_s_at,-188.70662,191.43218752083882,-2.725567520838837
205707_at,-154.753315,153.9217618873126,0.8315531126873736
205708_s_at,-117.69520800000001,120.64706041161895,-2.951852411618944
205709_s_at,-95.490838,104.17898358476897,-8.688145584768975
205710_at,-198.771981,201.3546688702598,-2.5826878702597753
205711_x_at,-87.754214,90.2999671492584,-2.5457531492584025
205712_at,-150.38751299999998,150.19830609523794,0.18920690476204527
205713_s_at,-183.584273,186.24927669924529,-2.6650036992452897
205714_s_at,-175.940806,175.58808268043526,0.35272331956474545
205715_at,-186.50131000000002,191.45251793511264,-4.95120793511262
205716_at,-159.125783,156.10097054350996,3.0248124564900536
205717_x_at,-135.199705,146.98761708839575,-11.787912088395757
