hsa:1	A1BG
hsa:100500862	MIR3648-1
hsa:100500863	MIR548AA1
hsa:100500864	MIR3929
hsa:100500865	MIR3936
hsa:100500866	MIR3941
hsa:100500867	MIR3684
hsa:100500868	MIR3913-2
hsa:100500869	MIR3672
hsa:100500870	MIR3926-1
hsa:100500871	MIR3622B
hsa:100500872	MIR3911
hsa:100500873	MIR3934
hsa:100500875	MIR3938
hsa:100500876	MIR3675
hsa:100500877	MIR3923
hsa:100500878	MIR3679
hsa:100500879	MIR3668
hsa:100500880	MIR3662
hsa:100500881	MIR3688-1
hsa:100500882	MIR3667
hsa:100500883	MIR550B1
hsa:100500884	MIR3681
hsa:100500885	MIR3925
hsa:100500886	MIR3683
hsa:100500887	MIR676
hsa:100500888	MIR3940
hsa:100500889	MIR3657
hsa:100500890	MIR3611
hsa:100500891	MIR3935
hsa:100500893	MIR3663
hsa:100500894	MIR3690
hsa:100500895	MIR548AA2
hsa:100500896	MIR3666
hsa:100500897	MIR3617
hsa:100500898	MIR3927
hsa:100500899	MIR3692
hsa:100500900	MIR3691
hsa:100500901	MIR3928
hsa:100500902	MIR3910-2
hsa:100500903	MIR3913-1
hsa:100500904	MIR3942
hsa:100500905	MIR3661
hsa:100500906	MIR3689B
hsa:100500907	MIR3150B
hsa:100500908	MIR3613
hsa:100500909	MIR3908
hsa:100500910	MIR3670-1
hsa:100500911	MIR3944
hsa:100500912	MIR3674
hsa:100500913	MIR3714
hsa:100500914	MIR3610
hsa:100500915	MIR3915
hsa:100500916	MIR3180-5
hsa:100500917	MIR3680-1
hsa:100500918	MIR3651
hsa:100500919	MIR548Y
hsa:100500920	MIR3914-2
hsa:100500938	CCDC179
hsa:100505385	IQCJ-SCHIP1
hsa:100505478	TEX48
hsa:100505573	INAFM2
hsa:100505591	LRRC3C
hsa:100505724	KRTAP9-7
hsa:100505741	SPATA1
